Cubrir necesidades genera impacto naturaleza y debemos disminuir contribuir a mitigar causas cambio climático,escuelas América Latina generadoras gases efecto invernadero consumos energéticos significativos cambiar
escuelas América Latina generadoras gases efecto invernadero consumos energéticos significativos cambiar,fundamental considerar ecosistemas límites a capacidades abastecernos recursos naturales servicios ambientales permitan degradar desechos y favorecernos aire y agua limpia tierra productiva
fundamental considerar ecosistemas límites a capacidades abastecernos recursos naturales servicios ambientales permitan degradar desechos y favorecernos aire y agua limpia tierra productiva,escuela aprenden y ensayan prácticas responsables ambiente permiten reducir emisiones a atmósfera invirtiendo estudiantes transmitan conocimiento a familia y futuro a hijos estén preparados a hora afrontar desafíos cambio climático
escuela aprenden y ensayan prácticas responsables ambiente permiten reducir emisiones a atmósfera invirtiendo estudiantes transmitan conocimiento a familia y futuro a hijos estén preparados a hora afrontar desafíos cambio climático,necesita alguien mantener estilo vida cantidad individuos ecosistema mantener función estilo vida Cap acidad carga Huella ecológica Huella ecológica y capacidad carga ecosistemas huella ecológica y capacidad carga ecosistemas estrechamente relacionadas
necesita alguien mantener estilo vida cantidad individuos ecosistema mantener función estilo vida Cap acidad carga Huella ecológica Huella ecológica y capacidad carga ecosistemas huella ecológica y capacidad carga ecosistemas estrechamente relacionadas,huella ecológica refiere a cantidad territorio y recursos persona localidad o país necesita mantenersu estilo vida capacidad carga definida perspectiva ecosistemas refiere número personas u organismos mantener dadas necesidades recursos alimento espacio aire agua servicios ambientales limpieza aire descomposición necesita alguien mantener estilo vida número individuos ecosistema mantener función estilo vida Huella ecológica Capacidad carga Diagnóstico aspectos relacionados energía ofrecen opciones desempeño ambiental escuela
huella ecológica refiere a cantidad territorio y recursos persona localidad o país necesita mantenersu estilo vida capacidad carga definida perspectiva ecosistemas refiere número personas u organismos mantener dadas necesidades recursos alimento espacio aire agua servicios ambientales limpieza aire descomposición necesita alguien mantener estilo vida número individuos ecosistema mantener función estilo vida Huella ecológica Capacidad carga Diagnóstico aspectos relacionados energía ofrecen opciones desempeño ambiental escuela,sugerimos a calcular huella carbono consiste medir emisiones GEI producen actividades persona institución localidad o país b diagnóstico detallado formas energía comunidad escolar c determinar consumo asociado a formas transporte llegar a escuela
sugerimos a calcular huella carbono consiste medir emisiones GEI producen actividades persona institución localidad o país b diagnóstico detallado formas energía comunidad escolar c determinar consumo asociado a formas transporte llegar a escuela,Medir huella carbono permitirá compararse instituciones mundo y perspectiva global significa planeta consumo energía escuela
Medir huella carbono permitirá compararse instituciones mundo y perspectiva global significa planeta consumo energía escuela,energía centro escolar páginas internet calcular automáticamente huella carbono
energía centro escolar páginas internet calcular automáticamente huella carbono,permitirá formarte idea presión humanos ejercemos planeta
permitirá formarte idea presión humanos ejercemos planeta,ayudará invitar a colegas estudiantes o maestros a ejercicio semejante
ayudará invitar a colegas estudiantes o maestros a ejercicio semejante,manual desarrollo currículo acompaña a puedes encontrar calculador indicador desempeño ambiental
manual desarrollo currículo acompaña a puedes encontrar calculador indicador desempeño ambiental,calentar motores e iniciar sensibilización grupo colegas o estudiantes deseas emprender proyecto proponemos contestar grupo preguntas generales permitirán y grupo colegas energía localidad y escuela
calentar motores e iniciar sensibilización grupo colegas o estudiantes deseas emprender proyecto proponemos contestar grupo preguntas generales permitirán y grupo colegas energía localidad y escuela,sesión clases estudiantes o reunión exclusiva grupo docentes escuela dependiendo hayan decidido emprender proyecto
sesión clases estudiantes o reunión exclusiva grupo docentes escuela dependiendo hayan decidido emprender proyecto,siguientes preguntas detalle y utiliza energía escuela e igualmente conveniente inventariar aparatos e instalaciones
siguientes preguntas detalle y utiliza energía escuela e igualmente conveniente inventariar aparatos e instalaciones,útil recorrido escuela y registrar halle
útil recorrido escuela y registrar halle,opción excelente involucrar actividad a estudiantes dividirse áreas específicas escuela y posteriormente socializar resultados
opción excelente involucrar actividad a estudiantes dividirse áreas específicas escuela y posteriormente socializar resultados,guía propone tabla permite distinguir aparatos eléctricos o gas y iluminación
guía propone tabla permite distinguir aparatos eléctricos o gas y iluminación,ofrece ejemplos ideas llenarse
ofrece ejemplos ideas llenarse,Diagnosing school energy use Diagnóstico energía Tabla energía centro escolar encuesta Encuestado docente estudiante Pregunta Respuesta tipos energía utilizan escuela gas eléctrica carbón leña solar
Diagnosing school energy use Diagnóstico energía Tabla energía centro escolar encuesta Encuestado docente estudiante Pregunta Respuesta tipos energía utilizan escuela gas eléctrica carbón leña solar,proviene energía carbón gas viento
proviene energía carbón gas viento,calidad servicio suministro energía eléctrica
calidad servicio suministro energía eléctrica,produce energía eléctrica llega escuela
produce energía eléctrica llega escuela,recursos naturales producción
recursos naturales producción,generación transporte y distribución
generación transporte y distribución,impactos ambientales negativos cercanos a localidad producto energías
impactos ambientales negativos cercanos a localidad producto energías,gasto mensual escuela energía eléctrica gas o combustible
gasto mensual escuela energía eléctrica gas o combustible,Consideras escuela aparatos innecesarios o altos consumidores energía
Consideras escuela aparatos innecesarios o altos consumidores energía,escuela medidor consumo funciona adecuadamente
escuela medidor consumo funciona adecuadamente,Tabla o aparatos utilizan electricidad o gas centro escolar Tipo energía utiliza
Tabla o aparatos utilizan electricidad o gas centro escolar Tipo energía utiliza,conectado use diario condiciones incluyendo cable y clavija responsable y mantenimiento Eléctrica Sacapuntas media hora Secretaria Esporádicamente área administrativa Secretaria dirección Eléctrica Microondas Encargada cafetería Calienta sopas y alimentos solicitan cafetería Personal cocina Gas Calentador agua piloto prendido hora Trabajadores jardineros agua caliente cocina Malas condiciones Encargado mantenimiento Gas Quemadores estufa piloto prendido Cocinera cafetería preparan alimentos desayunos y almuerzos estudiantes y profesores llama irregular
conectado use diario condiciones incluyendo cable y clavija responsable y mantenimiento Eléctrica Sacapuntas media hora Secretaria Esporádicamente área administrativa Secretaria dirección Eléctrica Microondas Encargada cafetería Calienta sopas y alimentos solicitan cafetería Personal cocina Gas Calentador agua piloto prendido hora Trabajadores jardineros agua caliente cocina Malas condiciones Encargado mantenimiento Gas Quemadores estufa piloto prendido Cocinera cafetería preparan alimentos desayunos y almuerzos estudiantes y profesores llama irregular,Deteriorada Cocinera y responsable cafetería iluminación y contactos encuentran habitación escuela conveniente elaborar plano sencillo y inventario habitación
Deteriorada Cocinera y responsable cafetería iluminación y contactos encuentran habitación escuela conveniente elaborar plano sencillo y inventario habitación,Tabla sistemas iluminación escuela Nombre habitación Interruptor habitación Número focos Tipo focos Vatios Horario Horario encendidos luz natural suficiente
Tabla sistemas iluminación escuela Nombre habitación Interruptor habitación Número focos Tipo focos Vatios Horario Horario encendidos luz natural suficiente,prende y apaga Aula Tubos fluorescentes Estudiantes cuarto grado
prende y apaga Aula Tubos fluorescentes Estudiantes cuarto grado,Personal mantenimiento clases
Personal mantenimiento clases,aseo Personal limpieza medida complete tabla agregar par columnas explique problema y plantee solución
aseo Personal limpieza medida complete tabla agregar par columnas explique problema y plantee solución,habitaciones iluminación permanece encendida diez necesario investigar a responsable apaga o a interruptor conjunto salas y
habitaciones iluminación permanece encendida diez necesario investigar a responsable apaga o a interruptor conjunto salas y,siguientes acciones posibles instalar apagadores habitación lograr mantengan controles independientes lámpara o área habitación cambiar focos o lámparas ahorradores o eficiencia Recuerda fundamental cuidar bombillas o lámparas estén apagadas use esencial clase y estudio aulas y espacios tengan iluminación condición fundamental aprendizaje
siguientes acciones posibles instalar apagadores habitación lograr mantengan controles independientes lámpara o área habitación cambiar focos o lámparas ahorradores o eficiencia Recuerda fundamental cuidar bombillas o lámparas estén apagadas use esencial clase y estudio aulas y espacios tengan iluminación condición fundamental aprendizaje,Viajar y escuela identificar problemas asociados transporte comunidad escolar cuestionario o encuesta clases y escuela niños pequeños envía Tabla transporte utilizado Encuestado docente estudiante padres Pregunta Respuesta vives kilómetros llegas a escuela
Viajar y escuela identificar problemas asociados transporte comunidad escolar cuestionario o encuesta clases y escuela niños pequeños envía Tabla transporte utilizado Encuestado docente estudiante padres Pregunta Respuesta vives kilómetros llegas a escuela,transporte público transporte escolar caminando bicicleta automóvil particular Compartes transporte miembros
transporte público transporte escolar caminando bicicleta automóvil particular Compartes transporte miembros,Compartes transporte compañeros
Compartes transporte compañeros,familia vehículo gasto mensual gasto mensual transporte público
familia vehículo gasto mensual gasto mensual transporte público,escuela realiza actividades transportan llevarlas a cabo
escuela realiza actividades transportan llevarlas a cabo,podrías llegar a escuela
podrías llegar a escuela,Dependiendo respuestas obtengas encuestados identificar principales medios transporte utilizados problemas suficiente oferta transporte público llegar escuela y atender actividades escuela tomar iniciativa y ofrecer bus padres organizarse turnos y principales medios transporte
Dependiendo respuestas obtengas encuestados identificar principales medios transporte utilizados problemas suficiente oferta transporte público llegar escuela y atender actividades escuela tomar iniciativa y ofrecer bus padres organizarse turnos y principales medios transporte,cuestionario a padres familia diligencien
cuestionario a padres familia diligencien,tabla exponen preguntas resultan útiles diagnosticar condiciones transporte y ofrecer soluciones
tabla exponen preguntas resultan útiles diagnosticar condiciones transporte y ofrecer soluciones,Recomendaciones impacto ambiental genera escuela relación consumo energía modificar rutas Disminución consumo cambio hábitos y costumbres
Recomendaciones impacto ambiental genera escuela relación consumo energía modificar rutas Disminución consumo cambio hábitos y costumbres,Adopción tecnologías alternativas y eficientes producción energía
Adopción tecnologías alternativas y eficientes producción energía,ambas opciones complementarias cabe duda mayores aportes escuela asociado cambio hábitos y costumbres disminuir consumo energético
ambas opciones complementarias cabe duda mayores aportes escuela asociado cambio hábitos y costumbres disminuir consumo energético,nivel importancia cambio naturaleza alto calculado reducciones consumo prácticas sencillas apagar luz o aparatos eléctricos necesiten
nivel importancia cambio naturaleza alto calculado reducciones consumo prácticas sencillas apagar luz o aparatos eléctricos necesiten,diseñar programa ahorro y eficiente energía escuela primeras acciones Identificar base inventario aparatos o sustituirse eficiencia energética
diseñar programa ahorro y eficiente energía escuela primeras acciones Identificar base inventario aparatos o sustituirse eficiencia energética,Dejar utilizarlos sacarlos o sustituirlos efecto inmediato reducción y eficiente energía
Dejar utilizarlos sacarlos o sustituirlos efecto inmediato reducción y eficiente energía,auditoría fugas instalación eléctrica
auditoría fugas instalación eléctrica,apagarse luces desconectar aparatos eléctricos y asegurarse esté utilizando electricidad sitio escuela
apagarse luces desconectar aparatos eléctricos y asegurarse esté utilizando electricidad sitio escuela,Verificar disco medidor esté girando
Verificar disco medidor esté girando,significa fuga y revisarse instalación
significa fuga y revisarse instalación,auditoría vampiros electricidad aparatos eléctricos consumen energía pese a apagados mantienen conectados
auditoría vampiros electricidad aparatos eléctricos consumen energía pese a apagados mantienen conectados,pequeñas lámparas indican permanecen espera listos usen y respondan inmediato
pequeñas lámparas indican permanecen espera listos usen y respondan inmediato,estima consumo energético vivienda deberse a tipo sorprendente
estima consumo energético vivienda deberse a tipo sorprendente,sumáramos porcentajes ahorro alcanzarse ajustando puntos anteriores llegaría a conclusión vale pena esfuerzo
sumáramos porcentajes ahorro alcanzarse ajustando puntos anteriores llegaría a conclusión vale pena esfuerzo,Disminución consumo cambio hábitos y costumbres acciones describen a continuación formular programa explícito gestiona currículo escolar proyectos y actividades particulares impulsados equipos estudiantes personal administrativo y docentes
Disminución consumo cambio hábitos y costumbres acciones describen a continuación formular programa explícito gestiona currículo escolar proyectos y actividades particulares impulsados equipos estudiantes personal administrativo y docentes,escuelas mundo promovido organización estudiantes promotores y vigilantes cambio hábitos consumo energético
escuelas mundo promovido organización estudiantes promotores y vigilantes cambio hábitos consumo energético,incluyen concursos debates talleres elaboración carteles o tarjetas estimular prácticas y desestimular comprometidas ambiente
incluyen concursos debates talleres elaboración carteles o tarjetas estimular prácticas y desestimular comprometidas ambiente,estudiantes auditorías periódicas revisar cumplimiento acuerdos previos asociados ahorro energía
estudiantes auditorías periódicas revisar cumplimiento acuerdos previos asociados ahorro energía,igualmente relevante reconocimiento público a grupos muestran desempeño
igualmente relevante reconocimiento público a grupos muestran desempeño,Colegio Okehampton ubicado Devon Reino Unido años impulsando cambios infraestructura institución organización y participación comunidad escolar y programas educativos
Colegio Okehampton ubicado Devon Reino Unido años impulsando cambios infraestructura institución organización y participación comunidad escolar y programas educativos,cambios bombillas o focos instalación tecnologías alternativas generar energía comunidad participa estímulo hábitos ahorro energía
cambios bombillas o focos instalación tecnologías alternativas generar energía comunidad participa estímulo hábitos ahorro energía,niños y jóvenes estimulan a comunidad a semáforo comportamiento verde acuerdos cuidado y ahorro energía cumplen amarillo grupos fallado compromisos y rojo reenergizar ánimos participación
niños y jóvenes estimulan a comunidad a semáforo comportamiento verde acuerdos cuidado y ahorro energía cumplen amarillo grupos fallado compromisos y rojo reenergizar ánimos participación,éxito colegio logrado disminuir pagos consumo energía eléctrica red electrificación ciudad y estimulado a escuelas sigan pasos
éxito colegio logrado disminuir pagos consumo energía eléctrica red electrificación ciudad y estimulado a escuelas sigan pasos,colegio logrado financiamiento fundaciones y grupos apoyan ideas
colegio logrado financiamiento fundaciones y grupos apoyan ideas,Fuente Okehampton College Devon and learning sustainable energy Vivir y aprender energía sostenible
Fuente Okehampton College Devon and learning sustainable energy Vivir y aprender energía sostenible,Recuadro Escuela Reino Unido ahorradora energía Fotos Asden Awards
Recuadro Escuela Reino Unido ahorradora energía Fotos Asden Awards,ahorro y eficiente energía escuela pensarse y planearse base diversos usos
ahorro y eficiente energía escuela pensarse y planearse base diversos usos,ofrecemos serie recomendaciones perspectiva Iluminación
ofrecemos serie recomendaciones perspectiva Iluminación,Sistema enfriamiento o calefacción
Sistema enfriamiento o calefacción,Aparatos eléctricos
Aparatos eléctricos,Gas baños y cocina
Gas baños y cocina,Transporte
Transporte,aspectos requerirse pequeño proyecto incluya problemas detectados diagnóstico opciones solución responsables impulsarán y mantendrán proyecto forma monitorearán avance y logros y medios mantendrá informada a comunidad escolar desempeño
aspectos requerirse pequeño proyecto incluya problemas detectados diagnóstico opciones solución responsables impulsarán y mantendrán proyecto forma monitorearán avance y logros y medios mantendrá informada a comunidad escolar desempeño,elaborarlo tabla susceptible ajustes o modificaciones necesidades o deseos
elaborarlo tabla susceptible ajustes o modificaciones necesidades o deseos,Tabla maneras ahorrar energía Problema atender Solución o acción atenderlo Necesidades llevarlo a cabo Forma monitorearlo Plan comunicación mantener informada a comunidad Responsables liderarlo Gasto iluminación Gasto enfriamiento o calefacción funcionamiento y aparatos eléctricos Alto consumo gas excesivo automóvil comunidad escolar Apagar luces necesiten
Tabla maneras ahorrar energía Problema atender Solución o acción atenderlo Necesidades llevarlo a cabo Forma monitorearlo Plan comunicación mantener informada a comunidad Responsables liderarlo Gasto iluminación Gasto enfriamiento o calefacción funcionamiento y aparatos eléctricos Alto consumo gas excesivo automóvil comunidad escolar Apagar luces necesiten,frecuente dejar encendidas luces exteriores aconseja establecer rutina revisar apaguen amanecer
frecuente dejar encendidas luces exteriores aconseja establecer rutina revisar apaguen amanecer,periodos vacacionales y noche mantener apagadas luces necesarias seguridad
periodos vacacionales y noche mantener apagadas luces necesarias seguridad,equipos laboratorio o deba permanecer encendido opción bajar interruptor y evitar gastos
equipos laboratorio o deba permanecer encendido opción bajar interruptor y evitar gastos,luces seguridad útiles sensores movimiento
luces seguridad útiles sensores movimiento,instalar sistema automatizado apague luces o aparatos horarios noche fines semana o vacaciones
instalar sistema automatizado apague luces o aparatos horarios noche fines semana o vacaciones,Utilizar lámparas eficientes ahorradoras fluorescentes compactas o mercado opciones
Utilizar lámparas eficientes ahorradoras fluorescentes compactas o mercado opciones,costo duran diez bombillas incandescentes y ahorros electricidad permiten recuperar inversión
costo duran diez bombillas incandescentes y ahorros electricidad permiten recuperar inversión,Sustituir focos menor potencia áreas requiere iluminación baños
Sustituir focos menor potencia áreas requiere iluminación baños,Aprovechar máximo luz
Aprovechar máximo luz,habitaciones o aulas ventanales mantener cortinas o persianas abiertas permitir paso luz natural y mantener focos apagados
habitaciones o aulas ventanales mantener cortinas o persianas abiertas permitir paso luz natural y mantener focos apagados,zonas seguramente conveniente colocar sombras externas árboles toldos o portales permitan paso luz deslumbrar e incomodar interior aula
zonas seguramente conveniente colocar sombras externas árboles toldos o portales permitan paso luz deslumbrar e incomodar interior aula,Procurar ventanas existentes materiales permitan paso luz
Procurar ventanas existentes materiales permitan paso luz,Pintar salones colores claros y aprovechar presencia tragaluces
Pintar salones colores claros y aprovechar presencia tragaluces,hará iluminación y necesario prender bombillos
hará iluminación y necesario prender bombillos,Mantener lámparas bombillos y pantallas libres polvo aprovechar luz genera
Mantener lámparas bombillos y pantallas libres polvo aprovechar luz genera,Pegar mensajes recordatorios interruptores gente escuela presente programa ahorro energético
Pegar mensajes recordatorios interruptores gente escuela presente programa ahorro energético,Instalar sensores movimiento áreas sanitarios o luces seguridad nocturna
Instalar sensores movimiento áreas sanitarios o luces seguridad nocturna,Recomendaciones ahorrar energía Iluminación Recomendaciones ahorrar energía Sistema enfriamiento o calefacción escuela Aislar muros techos y ventanas
Recomendaciones ahorrar energía Iluminación Recomendaciones ahorrar energía Sistema enfriamiento o calefacción escuela Aislar muros techos y ventanas,opción azoteas verdes o jardines verticales descritos apartado áreas verdes utilizar materiales aislantes plantea apartado infraestructura e instalar ventanas doble cristal
opción azoteas verdes o jardines verticales descritos apartado áreas verdes utilizar materiales aislantes plantea apartado infraestructura e instalar ventanas doble cristal,Colocar toldos persianas y cortinas ventanas mantener temperatura interior habitación
Colocar toldos persianas y cortinas ventanas mantener temperatura interior habitación,conservar temperatura salones aparatos enfriadores abrir y cerrar puertas y ventanas cuidando ventilarlo
conservar temperatura salones aparatos enfriadores abrir y cerrar puertas y ventanas cuidando ventilarlo,Encender aparato temperatura confort dependiendo temperatura exterior rango y Vigilar termostato funcione
Encender aparato temperatura confort dependiendo temperatura exterior rango y Vigilar termostato funcione,Desconectar aparato habitación encuentre vacía
Desconectar aparato habitación encuentre vacía,Revisar equipo y hacerle mantenimiento periódico
Revisar equipo y hacerle mantenimiento periódico,Apagar ventiladores habitación encuentre vacía
Apagar ventiladores habitación encuentre vacía,controles independientes ventiladores ubicados
controles independientes ventiladores ubicados,Limpiarlo y hacerle mantenimiento periódico demande energía
Limpiarlo y hacerle mantenimiento periódico demande energía,Dejar puertas y ventanas abiertas aire circule
Dejar puertas y ventanas abiertas aire circule,calefacción mantenerla a temperatura confort Abrir y cerrar puertas y ventanas
calefacción mantenerla a temperatura confort Abrir y cerrar puertas y ventanas,Vigilar termostato funcione
Vigilar termostato funcione,Desconectar aparato habitación encuentre vacía
Desconectar aparato habitación encuentre vacía,Dejar luz solar filtre ventana calentar habitación
Dejar luz solar filtre ventana calentar habitación,Revisar equipo y hacerle mantenimiento periódico
Revisar equipo y hacerle mantenimiento periódico,Photos Infonavit TonyTheTiger
Photos Infonavit TonyTheTiger,Desconectar máquinas enfriadoras agua o despachadoras refrescos o snacks periodos vacacionales
Desconectar máquinas enfriadoras agua o despachadoras refrescos o snacks periodos vacacionales,Apagar computadores e impresoras usen
Apagar computadores e impresoras usen,Activar función ahorradora monitores apaguen periodo inactividad
Activar función ahorradora monitores apaguen periodo inactividad,Activar programa suspensión funcionamiento fotocopiadoras apaguen detecten inactividad
Activar programa suspensión funcionamiento fotocopiadoras apaguen detecten inactividad,Activar función ahorradora proyectores video apaguen dejen utilizarse y pasen a descanso pausas expositor
Activar función ahorradora proyectores video apaguen dejen utilizarse y pasen a descanso pausas expositor,Preparar cantidad café consumirá y apagar y desconectar cafetera sirva
Preparar cantidad café consumirá y apagar y desconectar cafetera sirva,Mantener apagados y desconectados televisores estén utilizando regulador voltaje
Mantener apagados y desconectados televisores estén utilizando regulador voltaje,Procurar adquirir aparatos eléctricos hayan diseñado consumir menor cantidad energía
Procurar adquirir aparatos eléctricos hayan diseñado consumir menor cantidad energía,países sellos o certificados identifican
países sellos o certificados identifican,Recomendaciones ahorrar energía Aparatos eléctricos Revisar cable y clavija aparatos estén condiciones
Recomendaciones ahorrar energía Aparatos eléctricos Revisar cable y clavija aparatos estén condiciones,Desconectar aparatos estén usando evitar efecto vampiros eléctricos
Desconectar aparatos estén usando evitar efecto vampiros eléctricos,aparatos conectados a tomacorriente multicontactos apagarlo interruptor
aparatos conectados a tomacorriente multicontactos apagarlo interruptor,Limitar hornos eléctricos microondas y teteras eléctricas a calentar porciones pequeñas y ocasional a altos consumidores energía
Limitar hornos eléctricos microondas y teteras eléctricas a calentar porciones pequeñas y ocasional a altos consumidores energía,Comprobar aspas licuadora tengan filo y estén rotas o desgastadas
Comprobar aspas licuadora tengan filo y estén rotas o desgastadas,Lavarla inmediatamente usarla proteger filo aspas
Lavarla inmediatamente usarla proteger filo aspas,Picar alimentos trozos pequeños licuarlos
Picar alimentos trozos pequeños licuarlos,Moler alimentos menor
Moler alimentos menor,Remplazar refrigerador viejo dada eficiencia energética
Remplazar refrigerador viejo dada eficiencia energética,Mantener sellos verificar refrigerador esté nivelado puerta cierre correctamente y abrirla necesario refrigerador descongelarse frecuencia ubicarlo sitio ventilado y fuentes calor limpiar trasera año introducir alimentos calientes
